ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,03/05/2021 10:00,118951,119904,118528,119209,8888300,119209
^BVSP,04/05/2021 10:00,119209,119293,117631,117712,8765500,117712
^BVSP,05/05/2021 10:00,117725,119734,117725,119564,9059100,119564
^BVSP,06/05/2021 10:00,119577,119966,119071,119921,8779600,119921
^BVSP,07/05/2021 10:00,119922,122038,119922,122038,8865100,122038
^BVSP,10/05/2021 10:00,122038,122772,121795,121909,8219100,121909
^BVSP,11/05/2021 10:00,121904,122964,120145,122964,7988600,122964
^BVSP,12/05/2021 19:05,122964,122964,119458,119710,9405200,119710
^BVSP,13/05/2021 10:00,119711,121426,119711,120706,9356200,120706
^BVSP,14/05/2021 10:00,120719,122195,120719,121881,10136300,121881
^BVSP,17/05/2021 10:00,121880,123074,121680,122938,7408100,122938
^BVSP,18/05/2021 10:00,122937,123544,122550,122980,7840100,122980
^BVSP,19/05/2021 10:00,122976,123013,121595,122636,8825300,122636
^BVSP,20/05/2021 10:00,122636,122734,122136,122701,7906400,122701
^BVSP,21/05/2021 10:00,122701,122799,121760,122592,9493600,122592
^BVSP,24/05/2021 10:00,122592,124167,122526,124032,8186300,124032
^BVSP,25/05/2021 10:00,124032,124696,122701,122988,8914500,122988
^BVSP,26/05/2021 10:00,122988,124256,122988,123989,8258400,123989
^BVSP,27/05/2021 10:00,123989,124537,123470,124367,0,124367
^BVSP,28/05/2021 10:00,124367,125698,124284,125561,8838500,125561
^BVSP,31/05/2021 10:00,125561,126216,125540,126216,5946500,126216
^BVSP,01/06/2021 10:00,126218,128363,126218,128267,12496100,128267
^BVSP,02/06/2021 10:00,128268,129601,128167,129601,12781100,129601
^BVSP,04/06/2021 10:00,129600,130137,129148,130126,9814800,130126
^BVSP,07/06/2021 10:00,130125,131190,129498,130776,9655400,130776
^BVSP,08/06/2021 10:00,130776,130776,129230,129787,10346600,129787
^BVSP,09/06/2021 10:00,129800,130882,129281,129907,9833700,129907
^BVSP,10/06/2021 10:00,129911,130527,129526,130076,8537900,130076
^BVSP,11/06/2021 10:00,130076,130294,128678,129441,7748200,129441
^BVSP,14/06/2021 10:00,129441,131084,129441,130208,8155700,130208
^BVSP,15/06/2021 10:00,130208,130436,129304,130091,7211500,130091
^BVSP,16/06/2021 10:00,130091,130283,128345,129259,12879400,129259
^BVSP,17/06/2021 10:00,129259,129919,127576,128057,9664700,128057
^BVSP,18/06/2021 10:00,128050,128796,127595,128405,12432000,128405
^BVSP,21/06/2021 10:00,128405,129412,128048,129265,7333600,129265
^BVSP,22/06/2021 10:00,129242,129259,127803,128767,9328000,128767
^BVSP,23/06/2021 10:00,128769,129901,128182,128428,7988900,128428
^BVSP,24/06/2021 10:00,128433,129541,128428,129514,7237000,129514
^BVSP,25/06/2021 10:00,129513,129748,126697,127256,9363800,127256
^BVSP,28/06/2021 10:00,127255,128067,126629,127429,8155600,127429
^BVSP,29/06/2021 10:00,127429,127507,126184,127327,7777900,127327
^BVSP,30/06/2021 10:00,127323,127323,126199,126802,9098600,126802
^BVSP,01/07/2021 10:00,126802,127204,124994,125666,9292000,125666
^BVSP,02/07/2021 10:00,125667,127672,125667,127622,7434800,127622
^BVSP,05/07/2021 10:00,127622,127633,126531,126920,5255600,126920
^BVSP,06/07/2021 10:00,126919,126919,124866,125095,7651300,125095
^BVSP,07/07/2021 10:00,125096,127249,125094,127019,8151400,127019
^BVSP,08/07/2021 10:00,127013,127013,124310,125428,8881400,125428
^BVSP,12/07/2021 19:05,125428,127782,125428,127594,7421600,127594
^BVSP,13/07/2021 10:00,127594,128420,126441,128168,7152000,128168
^BVSP,14/07/2021 10:00,128169,129620,128085,128407,0,128407
^BVSP,15/07/2021 10:00,128407,128976,126922,127468,7418600,127468
^BVSP,16/07/2021 10:00,127468,128010,125808,125960,7355800,125960
^BVSP,19/07/2021 10:00,125958,125958,123317,124395,9210200,124395
^BVSP,20/07/2021 10:00,124395,125631,123631,125401,7627500,125401
^BVSP,21/07/2021 10:00,125404,126112,125247,125929,7148900,125929
^BVSP,22/07/2021 10:00,125930,126428,125416,126147,6480400,126147
^BVSP,23/07/2021 10:00,126140,126204,124422,125053,6051800,125053
^BVSP,26/07/2021 10:00,125058,126214,125006,126004,6325500,126004
^BVSP,27/07/2021 10:00,126004,126026,123670,124612,7313800,124612
^BVSP,28/07/2021 10:00,124615,126712,124542,126286,9038200,126286
^BVSP,29/07/2021 10:00,126285,126476,124917,125675,7488400,125675
^BVSP,30/07/2021 10:00,125672,125673,121748,121801,9399200,121801
^BVSP,02/08/2021 10:00,121803,124536,121797,122516,8565400,122516
^BVSP,03/08/2021 10:00,122516,123765,120807,123577,9391300,123577
^BVSP,04/08/2021 10:00,123577,123587,121072,121801,9164200,121801
^BVSP,05/08/2021 10:00,121801,123541,121128,121633,10913000,121633
^BVSP,06/08/2021 10:00,121633,123287,121568,122810,7499200,122810
